https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=92&discid=1407 - נגעת לי בלב,אייל גולן
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=166&discid=155 - על גבול האור,אריק איינשטיין
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=166&discid=154 - אוהב להיות בבית,אריק איינשטיין
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=166&discid=21 - יושב על הגדר ,אריק איינשטיין
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=41&discid=500 - לילה כיום יאיר,אביתר בנאי
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=41&discid=11 - עומד על נייר,אביתר בנאי
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=34&discid=159 - עם הזמן,אביב גפן
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=34&discid=161 - ממנטו מורי,אביב גפן
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=34&discid=160 - יומן מסע,אביב גפן
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=173&discid=885 - ספטמבר,ארקדי דוכין
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=173&discid=162 - נקודת מבט,ארקדי דוכין
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=57&discid=1338 - רסיסי לילה,אהוד בנאי
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=57&discid=58 - שיר חדש,אהוד בנאי
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=57&discid=60 - ענה לי,אהוד בנאי
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=5099&discid=15 - II,אריק ברמן
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=5099&discid=14 - I,אריק ברמן
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=1675&discid=1066 - שיהיה רק במזל,איציק קלה
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=176&discid=1352 - געגועים,אתניקס
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=176&discid=424 - 13,אתניקס
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=150&discid=1312 - צד א',אסף אמדורסקי
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=150&discid=299 - הרי את,אסף אמדורסקי
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=150&discid=301 - מנועים שקטים,אסף אמדורסקי
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=4517&discid=1361 - לאלף את הסוסים,איה כורם
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=4517&discid=1365 - שפה זרה,איה כורם
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=4517&discid=1366 - איה כורם,איה כורם
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=3078&discid=1211 - אה אה אה אהבה,אפרת גוש
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=168&discid=420 - אריק לביא שר,אריק לביא
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=168&discid=423 - דיוקן - האלבום,אריק לביא
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=168&discid=422 - שיר הוא לא רק מילים,אריק לביא
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=6145&discid=1164 - שמחת הפרטים הקטנים,ארז לב ארי
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=1853&discid=1477 - מעליי דממה,אהובה עוזרי
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=7335&discid=1579 - עכשיו החיים,אברהם טל
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=7335&discid=1206 - אורות,אברהם טל
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=7335&discid=363 - אברהם טל,אברהם טל
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=6934&discid=1108 - רוחות טובות,אודי דוידי
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=85&discid=1252 - קול וחומר,אושיק לוי
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=143&discid=1054 - דבש בכוורות,אמיר פיי גוטמן
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=154&discid=1171 - I'll See You In My Dreams – בהופעה 2009,אסתר עופרים
